func_sexo;func_idade;func_racacor;func_escolaridade;func_uf;func_deficiencia;empresa_porte;empresa_setor;contrato_horastrabalho;contrato_salario
MASCULINO;24;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;DE 50 A 99;Agricultura;44;1016,05
FEMININO;45;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;ATE 4;Comércio;44;1929,61
MASCULINO;43;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;44;2210
MASCULINO;38;AMARELA-BRANCA;SUPERIOR_COMPLETO;MA;NAO;DE 100 A 249;Comércio;44;12053,57
MASCULINO;32;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Indústria;44;1103,3
MASCULINO;21;PRETA-PARDA;SUPERIOR_INCOMPLETO;PE;NAO;DE 20 A 49;Serviços;44;986,9
MASCULINO;43;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 20 A 49;Serviços;40;11000
MASCULINO;33;SEM INFO;SUPERIOR_INCOMPLETO;AL;NAO;DE 50 A 99;Serviços;44;2748,23
FEMININO;48;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 10 A 19;Serviços;44;1069,44
MASCULINO;26;PRETA-PARDA;SUPERIOR_INCOMPLETO;PB;NAO;DE 100 A 249;Comércio;44;2132,99
MASCULINO;27;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 10 A 19;Serviços;36;3630,69
MASCULINO;30;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 20 A 49;Serviços;44;1082,56
MASCULINO;45;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;ATE 4;Serviços;44;1283,16
MASCULINO;26;AMARELA-BRANCA;MEDIO COMPLETO;PI;NAO;DE 20 A 49;Serviços;44;1022,69
FEMININO;27;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 50 A 99;Serviços;44;1048,87
MASCULINO;24;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;ATE 4;Comércio;44;1005
MASCULINO;43;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 50 A 99;Indústria;44;1017,6
FEMININO;34;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;2759,97
FEMININO;34;AMARELA-BRANCA;SUPERIOR_COMPLETO;MA;NAO;DE 50 A 99;Serviços;44;2204,02
MASCULINO;59;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;ATE 4;Construçao civil;44;1647,2
FEMININO;38;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 250 A 499;Serviços;36;1978,79
MASCULINO;27;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;ATE 4;Construçao civil;44;1608,02
FEMININO;34;SEM INFO;SUPERIOR_COMPLETO;BA;NAO;DE 20 A 49;Serviços;18;3279,66
FEMININO;26;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 500 A 999;Serviços;44;3081,16
FEMININO;32;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;1000 OU MAIS;Serviços;36;1691,07
MASCULINO;37;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1559
MASCULINO;21;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 500 A 999;Comércio;28;519,29
MASCULINO;31;SEM INFO;MEDIO COMPLETO;RN;NAO;DE 20 A 49;Construçao civil;44;1244,89
FEMININO;22;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;ATE 4;Comércio;44;1494,14
MASCULINO;24;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 500 A 999;Indústria;44;2078,23
FEMININO;20;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Comércio;44;1247,47
MASCULINO;42;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 250 A 499;Serviços;40;6410,64
MASCULINO;28;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 10 A 19;Serviços;44;2616,77
FEMININO;20;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;1000 OU MAIS;Serviços;36;1070,22
MASCULINO;42;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Construçao civil;44;4558,36
MASCULINO;21;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;1000 OU MAIS;Serviços;36;1447,42
FEMININO;38;AMARELA-BRANCA;SUPERIOR_COMPLETO;CE;NAO;DE 50 A 99;Serviços;22;954
MASCULINO;29;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;DE 100 A 249;Serviços;44;2869,62
MASCULINO;36;AMARELA-BRANCA;MEDIO COMPLETO;CE;NAO;1000 OU MAIS;Serviços;44;1839,77
MASCULINO;33;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Comércio;44;1671,74
MASCULINO;22;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 5 A 9;Indústria;44;1262,84
FEMININO;38;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 250 A 499;Serviços;9;3582,48
FEMININO;37;AMARELA-BRANCA;MEDIO COMPLETO;RN;NAO;ATE 4;Comércio;44;1209,99
FEMININO;25;AMARELA-BRANCA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 5 A 9;Comércio;44;1161,21
FEMININO;32;AMARELA-BRANCA;SUPERIOR_COMPLETO;CE;NAO;1000 OU MAIS;Serviços;24;18282,51
MASCULINO;25;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 10 A 19;Comércio;44;1600,76
FEMININO;22;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;972,56
FEMININO;34;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Comércio;44;1884
MASCULINO;20;PRETA-PARDA;MEDIO COMPLETO;PE;SIM;1000 OU MAIS;Serviços;44;1341,14
FEMININO;25;PRETA-PARDA;SUPERIOR_INCOMPLETO;PI;NAO;DE 20 A 49;Comércio;44;1100
FEMININO;35;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;DE 20 A 49;Serviços;44;1184,56
MASCULINO;34;AMARELA-BRANCA;MEDIO COMPLETO;PE;NAO;ATE 4;Serviços;44;1058,01
FEMININO;36;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;1000 OU MAIS;Agricultura;43;1299,91
MASCULINO;26;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;597,83
FEMININO;33;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Indústria;1;529,64
MASCULINO;29;SEM INFO;MEDIO COMPLETO;RN;NAO;DE 50 A 99;Serviços;44;497,95
MASCULINO;36;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;DE 50 A 99;Indústria;40;10350,03
MASCULINO;23;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 10 A 19;Comércio;44;1440,22
MASCULINO;43;AMARELA-BRANCA;SUPERIOR_COMPLETO;RN;NAO;DE 20 A 49;Serviços;4;1148,15
MASCULINO;47;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 10 A 19;Construçao civil;44;1438,39
FEMININO;24;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;1000 OU MAIS;Serviços;44;1338,02
FEMININO;42;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 100 A 249;Serviços;15;1143,11
FEMININO;28;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 5 A 9;Comércio;44;965,8
FEMININO;25;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 250 A 499;Indústria;44;1726,29
FEMININO;35;AMARELA-BRANCA;FUND_COMPLETO-MEDIO_INCOMPLETO;PE;NAO;DE 20 A 49;Agricultura;44;416,4
FEMININO;50;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Serviços;44;3072,94
MASCULINO;25;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;AL;NAO;DE 100 A 249;Agricultura;44;1029,6
FEMININO;29;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 50 A 99;Serviços;30;2249,53
MASCULINO;26;SEM INFO;MEDIO COMPLETO;MA;NAO;DE 500 A 999;Comércio;0;619,5
MASCULINO;44;SEM INFO;SUPERIOR_COMPLETO;PE;NAO;DE 100 A 249;Serviços;44;4551,45
MASCULINO;21;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 20 A 49;Comércio;44;1392,01
MASCULINO;55;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 250 A 499;Comércio;0;1879,78
MASCULINO;32;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PB;NAO;DE 50 A 99;Comércio;44;2876,15
MASCULINO;32;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Serviços;44;1188,12
MASCULINO;20;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;DE 100 A 249;Comércio;44;684,06
FEMININO;26;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;36;959,28
MASCULINO;20;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;DE 20 A 49;Serviços;36;1702,75
MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Indústria;44;1339,9
FEMININO;40;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PE;NAO;DE 5 A 9;Serviços;44;998,01
MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;ATE 4;Comércio;44;1037
FEMININO;37;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;DE 5 A 9;Serviços;44;1495,84
FEMININO;37;AMARELA-BRANCA;SUPERIOR_INCOMPLETO;BA;NAO;DE 20 A 49;Serviços;44;2495
FEMININO;19;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 5 A 9;Comércio;44;1031,26
MASCULINO;32;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;DE 20 A 49;Indústria;44;1608,55
MASCULINO;27;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Agricultura;44;2049,62
MASCULINO;22;PRETA-PARDA;SUPERIOR_INCOMPLETO;PE;SIM;DE 10 A 19;Comércio;20;476,32
FEMININO;37;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 5 A 9;Indústria;44;1012,76
MASCULINO;32;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;1000 OU MAIS;Serviços;24;11277,01
MASCULINO;51;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Serviços;44;933,92
FEMININO;41;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;38;1980,36
MASCULINO;26;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Comércio;44;997,99
MASCULINO;40;PRETA-PARDA;MEDIO COMPLETO;PB;NAO;DE 500 A 999;Serviços;44;1520,35
MASCULINO;33;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Administraçao pública;35;3083,95
MASCULINO;49;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;44;1131,28
MASCULINO;35;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 10 A 19;Serviços;44;1680,91
MASCULINO;26;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 20 A 49;Serviços;44;1544,1
FEMININO;32;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1128,98
MASCULINO;41;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 250 A 499;Comércio;44;1301,05
FEMININO;33;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;ATE 4;Serviços;44;998
MASCULINO;27;PRETA-PARDA;MEDIO COMPLETO;PB;NAO;DE 20 A 49;Serviços;44;1017,5
MASCULINO;35;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;ATE 4;Agricultura;44;1678,15
MASCULINO;35;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;CE;NAO;DE 250 A 499;Construçao civil;44;1599,52
MASCULINO;25;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;39;1505,17
FEMININO;27;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 20 A 49;Serviços;30;3778,47
FEMININO;33;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Indústria;44;8646,9
MASCULINO;27;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 20 A 49;Indústria;44;981,36
MASCULINO;41;AMARELA-BRANCA;MEDIO COMPLETO;MA;NAO;DE 50 A 99;Serviços;44;1457,97
FEMININO;63;PRETA-PARDA;SUPERIOR_COMPLETO;AL;NAO;DE 250 A 499;Serviços;20;1867,5
MASCULINO;32;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;PE;NAO;DE 250 A 499;Indústria;44;2052,62
MASCULINO;58;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 50 A 99;Serviços;44;1830,78
MASCULINO;22;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;44;1132,03
FEMININO;29;PRETA-PARDA;SUPERIOR_INCOMPLETO;BA;NAO;DE 5 A 9;Serviços;35;724,75
FEMININO;41;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;SE;NAO;DE 250 A 499;Serviços;28;666,67
MASCULINO;36;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;1000 OU MAIS;Serviços;44;1724,57
MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;36;1511,4
FEMININO;23;SEM INFO;MEDIO COMPLETO;PE;NAO;DE 100 A 249;Serviços;36;1031,6
MASCULINO;26;PRETA-PARDA;SUPERIOR_INCOMPLETO;BA;NAO;DE 20 A 49;Indústria;44;1734,66
MASCULINO;68;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 20 A 49;Indústria;40;8637,67
MASCULINO;30;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Administraçao pública;44;1679,6
FEMININO;20;PRETA-PARDA;SUPERIOR_INCOMPLETO;AL;NAO;DE 20 A 49;Serviços;44;1077,49
FEMININO;28;PRETA-PARDA;MEDIO COMPLETO;RN;NAO;DE 10 A 19;Serviços;44;933,26
FEMININO;27;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;1000 OU MAIS;Serviços;44;1411,81
MASCULINO;32;SEM INFO;MEDIO COMPLETO;RN;NAO;DE 5 A 9;Serviços;44;1045,8
MASCULINO;52;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 5 A 9;Serviços;44;659,14
FEMININO;36;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;1000 OU MAIS;Serviços;36;1056,04
MASCULINO;45;AMARELA-BRANCA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;DE 50 A 99;Serviços;44;1679,6
FEMININO;25;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;44;1586,84
MASCULINO;58;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;ATE 4;Construçao civil;44;2582,25
FEMININO;46;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;CE;NAO;ATE 4;Comércio;44;998
MASCULINO;29;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 50 A 99;Serviços;6;1316,96
MASCULINO;31;AMARELA-BRANCA;MEDIO COMPLETO;CE;NAO;ATE 4;Indústria;44;1396,26
MASCULINO;34;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PB;NAO;DE 50 A 99;Agricultura;44;1215,53
FEMININO;25;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 250 A 499;Serviços;30;1775,29
FEMININO;25;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;ATE 4;Serviços;44;1200
MASCULINO;36;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 500 A 999;Serviços;44;369,96
MASCULINO;32;SEM INFO;SUPERIOR_COMPLETO;CE;NAO;DE 20 A 49;Serviços;44;2615,75
MASCULINO;30;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 20 A 49;Serviços;44;3080,05
MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 20 A 49;Comércio;44;1008,24
MASCULINO;21;SEM INFO;MEDIO COMPLETO;PE;NAO;ATE 4;Comércio;44;1723,17
FEMININO;24;PRETA-PARDA;SUPERIOR_COMPLETO;CE;NAO;DE 250 A 499;Serviços;21;2137,83
FEMININO;24;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;ATE 4;Serviços;44;1063,62
FEMININO;24;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;ATE 4;Comércio;44;1653,37
FEMININO;37;AMARELA-BRANCA;SUPERIOR_INCOMPLETO;BA;NAO;DE 50 A 99;Serviços;44;1481,36
FEMININO;57;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;ATE 4;Serviços;44;17292,03
MASCULINO;50;SEM INFO;MEDIO COMPLETO;BA;NAO;ATE 4;Agricultura;44;1029,99
FEMININO;27;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;1067,16
FEMININO;30;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 10 A 19;Comércio;44;2121,92
FEMININO;23;SEM INFO;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1918,73
MASCULINO;33;PRETA-PARDA;SUPERIOR_COMPLETO;PI;NAO;DE 100 A 249;Serviços;44;1790,07
MASCULINO;27;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 5 A 9;Indústria;44;998
MASCULINO;38;AMARELA-BRANCA;MEDIO COMPLETO;PE;SIM;DE 500 A 999;Serviços;40;2014,92
MASCULINO;23;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;DE 20 A 49;Agricultura;44;1024,21
MASCULINO;23;SEM INFO;MEDIO COMPLETO;AL;NAO;DE 5 A 9;Comércio;44;1506,12
MASCULINO;20;SEM INFO;MEDIO COMPLETO;RN;NAO;DE 20 A 49;Serviços;44;478,26
MASCULINO;39;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Construçao civil;44;5349,06
MASCULINO;27;PRETA-PARDA;SUPERIOR_INCOMPLETO;CE;NAO;DE 50 A 99;Serviços;44;2075,22
MASCULINO;30;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 50 A 99;Serviços;44;1396,59
FEMININO;27;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;ATE 4;Comércio;44;962,29
MASCULINO;44;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 20 A 49;Serviços;4;2577,35
MASCULINO;49;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 5 A 9;Agricultura;44;964,73
FEMININO;40;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;DE 5 A 9;Serviços;44;3349,65
MASCULINO;30;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;CE;NAO;DE 50 A 99;Comércio;44;1097,04
FEMININO;20;AMARELA-BRANCA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Comércio;44;1456,1
MASCULINO;24;SEM INFO;MEDIO COMPLETO;CE;NAO;DE 5 A 9;Comércio;44;1316,14
FEMININO;43;PRETA-PARDA;SUPERIOR_COMPLETO;RN;SIM;DE 500 A 999;Serviços;44;1060,18
FEMININO;30;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 100 A 249;Serviços;44;1568,94
MASCULINO;20;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;984,66
MASCULINO;56;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 20 A 49;Comércio;44;1828,07
MASCULINO;36;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Serviços;44;1738,6
MASCULINO;30;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;DE 100 A 249;Agricultura;44;756,48
FEMININO;32;AMARELA-BRANCA;SUPERIOR_COMPLETO;AL;NAO;ATE 4;Serviços;44;2869,6
FEMININO;27;PRETA-PARDA;SUPERIOR_COMPLETO;PE;NAO;DE 20 A 49;Serviços;44;4642,11
MASCULINO;30;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PI;NAO;ATE 4;Serviços;44;998
FEMININO;28;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;36;1054,86
MASCULINO;25;SEM INFO;FUND_COMPLETO-MEDIO_INCOMPLETO;BA;NAO;DE 10 A 19;Serviços;44;1033,65
FEMININO;50;AMARELA-BRANCA;MEDIO COMPLETO;AL;NAO;DE 250 A 499;Serviços;36;2033,13
MASCULINO;29;SEM INFO;MEDIO COMPLETO;PB;NAO;DE 5 A 9;Comércio;44;2898,05
MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 500 A 999;Serviços;44;1593,35
FEMININO;45;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Serviços;36;1606,87
FEMININO;35;AMARELA-BRANCA;MEDIO COMPLETO;RN;NAO;DE 250 A 499;Serviços;44;1528,05
MASCULINO;38;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;RN;NAO;DE 10 A 19;Comércio;44;1298,31
MASCULINO;26;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;DE 20 A 49;Serviços;36;1571,05
MASCULINO;36;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 20 A 49;Comércio;44;1891,18
FEMININO;38;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;ATE 4;Comércio;44;1048,27
MASCULINO;26;AMARELA-BRANCA;MEDIO COMPLETO;CE;NAO;DE 100 A 249;Serviços;44;1112,21
FEMININO;60;SEM INFO;MEDIO COMPLETO;CE;NAO;ATE 4;Comércio;44;1059,77
FEMININO;46;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 5 A 9;Serviços;44;4260,82
MASCULINO;65;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;1000 OU MAIS;Indústria;40;16765,23
MASCULINO;31;PRETA-PARDA;SUPERIOR_COMPLETO;BA;NAO;DE 100 A 249;Serviços;44;1617,87
MASCULINO;19;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;1000 OU MAIS;Indústria;44;788,32
MASCULINO;31;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;ATE 4;Indústria;44;1035,65
MASCULINO;40;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 250 A 499;Construçao civil;44;2694,05
MASCULINO;41;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;ATE 4;Serviços;44;1911
MASCULINO;34;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 10 A 19;Comércio;44;1124,22
MASCULINO;19;PRETA-PARDA;MEDIO COMPLETO;SE;NAO;DE 10 A 19;Comércio;44;1027,56
FEMININO;28;AMARELA-BRANCA;MEDIO COMPLETO;CE;NAO;ATE 4;Comércio;44;1084,99
FEMININO;22;PRETA-PARDA;SUPERIOR_INCOMPLETO;BA;NAO;1000 OU MAIS;Serviços;36;816,55
MASCULINO;35;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;RN;NAO;DE 100 A 249;Agricultura;44;1807,41
MASCULINO;28;AMARELA-BRANCA;MEDIO COMPLETO;BA;NAO;DE 5 A 9;Comércio;44;1557,68
MASCULINO;43;PRETA-PARDA;FUND_COMPLETO-MEDIO_INCOMPLETO;RN;NAO;DE 20 A 49;Construçao civil;44;2749,91
MASCULINO;25;AMARELA-BRANCA;ANALFABETO-FUND_INCOMPLETO;BA;SIM;DE 500 A 999;Serviços;44;1093,62
MASCULINO;21;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 5 A 9;Serviços;44;1299,52
MASCULINO;36;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 250 A 499;Comércio;44;1413
FEMININO;23;SEM INFO;MEDIO COMPLETO;PI;NAO;DE 5 A 9;Serviços;44;1108,9
MASCULINO;41;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PI;NAO;DE 50 A 99;Serviços;44;1175,4
MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Comércio;44;1289,07
MASCULINO;48;SEM INFO;MEDIO COMPLETO;BA;NAO;DE 50 A 99;Serviços;44;1601,31
FEMININO;19;INDIGENA;MEDIO COMPLETO;BA;NAO;1000 OU MAIS;Serviços;16;499
MASCULINO;28;SEM INFO;MEDIO COMPLETO;PI;NAO;DE 20 A 49;Agricultura;44;1130,12
MASCULINO;52;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 50 A 99;Serviços;1;519,73
MASCULINO;41;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;PI;NAO;DE 50 A 99;Comércio;44;1021,58
MASCULINO;23;PRETA-PARDA;MEDIO COMPLETO;RN;SIM;1000 OU MAIS;Serviços;44;1943,77
MASCULINO;31;PRETA-PARDA;MEDIO COMPLETO;MA;NAO;DE 50 A 99;Indústria;42;1257,07
MASCULINO;53;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 10 A 19;Indústria;44;3036,2
MASCULINO;30;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;1000 OU MAIS;Agricultura;44;1573,72
FEMININO;21;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;1000 OU MAIS;Serviços;36;1228,1
FEMININO;21;PRETA-PARDA;MEDIO COMPLETO;AL;NAO;DE 250 A 499;Serviços;40;1262,33
FEMININO;38;PRETA-PARDA;MEDIO COMPLETO;PI;NAO;1000 OU MAIS;Serviços;36;1045,85
FEMININO;21;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;DE 10 A 19;Comércio;44;1031,99
FEMININO;30;AMARELA-BRANCA;SUPERIOR_COMPLETO;AL;NAO;DE 5 A 9;Comércio;20;1523,17
MASCULINO;29;PRETA-PARDA;MEDIO COMPLETO;BA;NAO;DE 100 A 249;Indústria;44;1411,39
MASCULINO;30;AMARELA-BRANCA;SUPERIOR_INCOMPLETO;MA;NAO;DE 10 A 19;Comércio;1;579,83
MASCULINO;21;PRETA-PARDA;MEDIO COMPLETO;PE;NAO;DE 5 A 9;Comércio;44;1036,99
FEMININO;45;AMARELA-BRANCA;ANALFABETO-FUND_INCOMPLETO;PE;NAO;DE 100 A 249;Indústria;44;1030
MASCULINO;62;PRETA-PARDA;ANALFABETO-FUND_INCOMPLETO;BA;NAO;ATE 4;Serviços;44;3097,75
MASCULINO;27;AMARELA-BRANCA;SUPERIOR_COMPLETO;PE;NAO;DE 500 A 999;Serviços;44;3522,32
MASCULINO;22;PRETA-PARDA;MEDIO COMPLETO;CE;NAO;DE 10 A 19;Serviços;44;1152,55
FEMININO;29;SEM INFO;SUPERIOR_INCOMPLETO;PE;NAO;DE 10 A 19;Comércio;42;1346,22
